Time.hours,Time.days,Treatment,Flask,CO2.ppm,m.z
41.0,1.7083333330000001,12C100,1,211.65097000000003,44
114.0,4.75,12C100,1,110.17706000000001,44
157.5,6.5625,12C100,1,190.95872,44
204.5,8.520833332999999,12C100,1,312.53505,44
274.5,11.4375,12C100,1,1374.76475,44
321.5,13.39583333,12C100,1,930.4757199999999,44
391.0,16.29166667,12C100,1,1717.2775199999999,44
463.5,19.3125,12C100,1,1432.4708,44
487.0,20.29166667,12C100,1,360.5696,44
535.0,22.29166667,12C100,1,885.91398,44
581.5,24.22916667,12C100,1,236.33401,44
653.25,27.21875,12C100,1,709.49401,44
699.75,29.15625,12C100,1,903.5849,44
749.75,31.23958333,12C100,1,554.56018,44
796.25,33.17708333,12C100,1,462.03261,44
815.25,33.96875,12C100,1,207.26266999999999,44
868.25,36.17708333,12C100,1,828.8444599999999,44
915.25,38.13541667,12C100,1,251.15776,44
962.75,40.11458333,12C100,1,396.8355,44
986.75,41.11458333,12C100,1,251.21176,44
1031.25,42.96875,12C100,1,753.73255,44
1078.75,44.94791667,12C100,1,375.21606,44
1103.0,45.95833333,12C100,1,282.57257999999996,44
1126.0,46.91666667,12C100,1,39.58954,44
1150.0,47.91666667,12C100,1,403.88088,44
41.0,1.7083333330000001,12C100,2,357.78237,44
114.0,4.75,12C100,2,216.37251,44
157.5,6.5625,12C100,2,181.37524,44
204.5,8.520833332999999,12C100,2,1377.586,44
274.5,11.4375,12C100,2,1663.34501,44
321.5,13.39583333,12C100,2,1147.61297,44
391.0,16.29166667,12C100,2,2303.9662,44
463.5,19.3125,12C100,2,2241.3305100000002,44
487.0,20.29166667,12C100,2,607.98465,44
535.0,22.29166667,12C100,2,1373.47976,44
581.5,24.22916667,12C100,2,947.96004,44
653.25,27.21875,12C100,2,836.17065,44
699.75,29.15625,12C100,2,991.0677800000001,44
749.75,31.23958333,12C100,2,586.91181,44
796.25,33.17708333,12C100,2,336.4104,44
815.25,33.96875,12C100,2,241.90928,44
868.25,36.17708333,12C100,2,800.07234,44
915.25,38.13541667,12C100,2,315.71805,44
962.75,40.11458333,12C100,2,464.88496,44
986.75,41.11458333,12C100,2,243.16212000000002,44
1031.25,42.96875,12C100,2,857.40934,44
1078.75,44.94791667,12C100,2,383.41848999999996,44
1103.0,45.95833333,12C100,2,297.2316,44
1126.0,46.91666667,12C100,2,53.373630000000006,44
1150.0,47.91666667,12C100,2,475.07243,44
41.0,1.7083333330000001,12C100,3,612.59705,44
114.0,4.75,12C100,3,324.06498999999997,44
157.5,6.5625,12C100,3,251.42244,44
204.5,8.520833332999999,12C100,3,992.1274699999999,44
274.5,11.4375,12C100,3,1581.87518,44
321.5,13.39583333,12C100,3,1018.51125,44
391.0,16.29166667,12C100,3,1909.22163,44
463.5,19.3125,12C100,3,2017.1909899999998,44
487.0,20.29166667,12C100,3,484.70262,44
535.0,22.29166667,12C100,3,1551.33099,44
581.5,24.22916667,12C100,3,881.44281,44
653.25,27.21875,12C100,3,783.74407,44
699.75,29.15625,12C100,3,948.81371,44
749.75,31.23958333,12C100,3,477.82655,44
796.25,33.17708333,12C100,3,446.45331,44
815.25,33.96875,12C100,3,299.14634,44
41.0,1.7083333330000001,12C100,4,505.00850999999994,44
114.0,4.75,12C100,4,225.90838,44
157.5,6.5625,12C100,4,283.92307999999997,44
204.5,8.520833332999999,12C100,4,1581.65997,44
274.5,11.4375,12C100,4,1417.43703,44
321.5,13.39583333,12C100,4,1096.52274,44
391.0,16.29166667,12C100,4,2026.45982,44
463.5,19.3125,12C100,4,1979.4317199999998,44
487.0,20.29166667,12C100,4,518.40363,44
535.0,22.29166667,12C100,4,1509.69254,44
581.5,24.22916667,12C100,4,802.44796,44
653.25,27.21875,12C100,4,712.16697,44
699.75,29.15625,12C100,4,870.6161800000001,44
749.75,31.23958333,12C100,4,677.61903,44
796.25,33.17708333,12C100,4,425.75047,44
815.25,33.96875,12C100,4,205.15288,44
41.0,1.7083333330000001,12C100,5,660.31392,44
114.0,4.75,12C100,5,248.17189,44
157.5,6.5625,12C100,5,204.31335,44
204.5,8.520833332999999,12C100,5,1828.92341,44
274.5,11.4375,12C100,5,1446.70722,44
321.5,13.39583333,12C100,5,865.70685,44
391.0,16.29166667,12C100,5,1779.99572,44
463.5,19.3125,12C100,5,2196.6527899999996,44
487.0,20.29166667,12C100,5,578.34119,44
41.0,1.7083333330000001,12C700,6,2617.9562,44
114.0,4.75,12C700,6,222.51288,44
157.5,6.5625,12C700,6,499.23174000000006,44
204.5,8.520833332999999,12C700,6,717.1429099999999,44
274.5,11.4375,12C700,6,1460.98549,44
321.5,13.39583333,12C700,6,788.9995,44
391.0,16.29166667,12C700,6,1313.61264,44
